I'm sorry!                                                                                       	Mazrat chahta hoon                                                                                 	معزرت چاہتا ہوں
Sorry!	                                                                                            Maaf kijiye ga                                                                                  	معاف کیجیے گا
No problem                                                                                         	Koi baat nahi                                                                                   	 کوئی بات نہیں
Can you say it again?                                                                              	Kya aap isay dobarah keh sakte hain?                                                               کیا آپ اسے دوبارہ کہہ سکتے ہیں
Can you speak slowly?                                                                            	Kya aap aahistah keh saktay hain?                                                               	کیا آپ آہستہ کہہ سکتے ہیں
Write it down please!                                                                           	Barae meherbani likhye                                                                           	براہ مہربانی لکھیے
I don't understand!                                                                               	Main samji nahi                                                                                 	میں سمجھی نہیں
I don't know!                                                                                      	Mujhe nahi malum                                                                                	مجھے نہیں معلوم
I have no  idea.                                                                                 	Mujhe andazah nahi                                                                              	مجھے اندازہ نہیں
What's that called in urdu?                                                                       	Issay urdu main kya kehte hain?                                                              	اسے اُردو میں کیا کہتے ہیں
How do you say " please" in Urdu?                                                               	Aap "please" ko urdu main kya kehte hain?                                                       	آپ اُردو میں "پلیز" کو کیا کہتے ہیں
My Urdu is bad.                                                                                   	Mere urdu kharab hai.                                                                         	میری اُردو خراب ہے
I need to practice my Urdu.                                                                        	Mujhe urdu ki mashk karni chahiye                                                               	 مجھے اُردو کی مشق کرنی چاہیے
Don't worry.                                                                                    	Parehhan mat hon                                                                              	پریشان نہ ہوں
